track_path,action,confidence,current_title,proposed_title,current_artist,proposed_artist,issue_flags,reason
/home/pio/staging-subset/2LAVE RAC3 - Occult Acid Techno Trance - Splatterkore Reckords - 2017/1. 2LAVE RAC3 - Bloodbath.flac,unreadable_needs_manual_review,0.30,,,,,artist_missing;unreadable_title,no changes proposed
/home/pio/staging-subset/2LAVE RAC3 - Occult Acid Techno Trance - Splatterkore Reckords - 2017/10. 2LAVE RAC3 - Talkin Revolution.flac,unreadable_needs_manual_review,0.30,,,,,artist_missing;unreadable_title,no changes proposed
/home/pio/staging-subset/2LAVE RAC3 - Occult Acid Techno Trance - Splatterkore Reckords - 2017/2. 2LAVE RAC3 - The Magi (We Have The Power).flac,unreadable_needs_manual_review,0.30,,,,,artist_missing;unreadable_title,no changes proposed
/home/pio/staging-subset/2LAVE RAC3 - Occult Acid Techno Trance - Splatterkore Reckords - 2017/3. 2LAVE RAC3 - We Are The Shamans.flac,unreadable_needs_manual_review,0.30,,,,,artist_missing;unreadable_title,no changes proposed
/home/pio/staging-subset/2LAVE RAC3 - Occult Acid Techno Trance - Splatterkore Reckords - 2017/4. 2LAVE RAC3 - New Generation (Rock The Earth!).flac,unreadable_needs_manual_review,0.30,,,,,artist_missing;unreadable_title,no changes proposed
/home/pio/staging-subset/2LAVE RAC3 - Occult Acid Techno Trance - Splatterkore Reckords - 2017/5. 2LAVE RAC3 - Climax Vibrations.flac,unreadable_needs_manual_review,0.30,,,,,artist_missing;unreadable_title,no changes proposed
/home/pio/staging-subset/2LAVE RAC3 - Occult Acid Techno Trance - Splatterkore Reckords - 2017/6. 2LAVE RAC3 - Acid Reality.flac,unreadable_needs_manual_review,0.30,,,,,artist_missing;unreadable_title,no changes proposed
"/home/pio/staging-subset/2LAVE RAC3 - Occult Acid Techno Trance - Splatterkore Reckords - 2017/7. 2LAVE RAC3 - Everythings Possible, Nothing Is True.flac",unreadable_needs_manual_review,0.30,,,,,artist_missing;unreadable_title,no changes proposed
/home/pio/staging-subset/2LAVE RAC3 - Occult Acid Techno Trance - Splatterkore Reckords - 2017/8. 2LAVE RAC3 - Tribes Of Tomorrow (Fuck Society!).flac,unreadable_needs_manual_review,0.30,,,,,artist_missing;unreadable_title,no changes proposed
/home/pio/staging-subset/2LAVE RAC3 - Occult Acid Techno Trance - Splatterkore Reckords - 2017/9. 2LAVE RAC3 - Extraterrestrial.flac,unreadable_needs_manual_review,0.30,,,,,artist_missing;unreadable_title,no changes proposed
